127.0.0.1 - - [03/Dec/2021:18:34:28 -0300] "GET / HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:11 -0300] "GET /ProjetoIndividual/pages/gerente/livro/index.html HTTP/1.1" 200 4061
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:11 -0300] "GET /ProjetoIndividual/css/gerente/gerente.css HTTP/1.1" 200 2799
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:11 -0300] "GET /ProjetoIndividual/js/gerente/gerente.js HTTP/1.1" 200 1109
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:11 -0300] "GET /ProjetoIndividual/js/jquery-ui.js HTTP/1.1" 200 528735
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:11 -0300] "GET /ProjetoIndividual/js/gerente/livro.js HTTP/1.1" 200 8801
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:11 -0300] "GET /ProjetoIndividual/css/jquery-ui.css HTTP/1.1" 200 36954
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:11 -0300] "GET /ProjetoIndividual/pages/gerente/geralCadastro/menu.html HTTP/1.1" 200 499
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:11 -0300] "GET /ProjetoIndividual/pages/gerente/geralCadastro/footer.html HTTP/1.1" 200 45
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:11 -0300] "GET /ProjetoIndividual/imgs/fotoPerfil.jpg HTTP/1.1" 200 12766
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:11 -0300] "GET /ProjetoIndividual/rest/livro/buscar HTTP/1.1" 200 98
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:11 -0300] "GET /ProjetoIndividual/rest/livro/buscarPorNome?valorBusca= HTTP/1.1" 200 773
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:11 -0300] "GET /ProjetoIndividual/imgs/delete.png HTTP/1.1" 200 3926
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:11 -0300] "GET /ProjetoIndividual/imgs/edit.png HTTP/1.1" 200 1257
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:13 -0300] "GET /ProjetoIndividual/pages/gerente/livro/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:13 -0300] "GET /ProjetoIndividual/rest/livro/buscar HTTP/1.1" 200 98
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:13 -0300] "GET /ProjetoIndividual/rest/livro/buscarPorNome?valorBusca= HTTP/1.1" 200 773
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:13 -0300] "GET /ProjetoIndividual/pages/gerente/livro/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:13 -0300] "GET /ProjetoIndividual/rest/livro/buscar HTTP/1.1" 200 98
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:13 -0300] "GET /ProjetoIndividual/rest/livro/buscarPorNome?valorBusca= HTTP/1.1" 200 773
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:13 -0300] "GET /ProjetoIndividual/pages/gerente/livro/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:13 -0300] "GET /ProjetoIndividual/rest/livro/buscar HTTP/1.1" 200 98
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:13 -0300] "GET /ProjetoIndividual/rest/livro/buscarPorNome?valorBusca= HTTP/1.1" 200 773
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:13 -0300] "GET /ProjetoIndividual/pages/gerente/livro/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:13 -0300] "GET /ProjetoIndividual/rest/livro/buscar HTTP/1.1" 200 98
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:13 -0300] "GET /ProjetoIndividual/rest/livro/buscarPorNome?valorBusca= HTTP/1.1" 200 773
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:13 -0300] "GET /ProjetoIndividual/pages/gerente/livro/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:13 -0300] "GET /ProjetoIndividual/rest/livro/buscar HTTP/1.1" 200 98
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:13 -0300] "GET /ProjetoIndividual/rest/livro/buscarPorNome?valorBusca= HTTP/1.1" 200 773
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:13 -0300] "GET /ProjetoIndividual/pages/gerente/livro/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:13 -0300] "GET /ProjetoIndividual/rest/livro/buscar HTTP/1.1" 200 98
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:13 -0300] "GET /ProjetoIndividual/rest/livro/buscarPorNome?valorBusca= HTTP/1.1" 200 773
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:13 -0300] "GET /ProjetoIndividual/pages/gerente/livro/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:14 -0300] "GET /ProjetoIndividual/rest/livro/buscar HTTP/1.1" 200 98
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:14 -0300] "GET /ProjetoIndividual/rest/livro/buscarPorNome?valorBusca= HTTP/1.1" 200 773
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:14 -0300] "GET /ProjetoIndividual/pages/gerente/livro/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:14 -0300] "GET /ProjetoIndividual/js/gerente/livro.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:14 -0300] "GET /ProjetoIndividual/rest/livro/buscarPorNome?valorBusca= HTTP/1.1" 200 773
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:14 -0300] "GET /ProjetoIndividual/rest/livro/buscar HTTP/1.1" 200 98
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:14 -0300] "GET /ProjetoIndividual/pages/gerente/livro/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:14 -0300] "GET /ProjetoIndividual/rest/livro/buscar HTTP/1.1" 200 98
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:14 -0300] "GET /ProjetoIndividual/rest/livro/buscarPorNome?valorBusca= HTTP/1.1" 200 773
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:15 -0300] "GET /ProjetoIndividual/pages/gerente/livro/index.html HTTP/1.1" 200 4061
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:15 -0300] "GET /ProjetoIndividual/css/gerente/gerente.css HTTP/1.1" 200 2799
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:15 -0300] "GET /ProjetoIndividual/js/gerente/gerente.js HTTP/1.1" 200 1109
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:15 -0300] "GET /ProjetoIndividual/js/jquery-ui.js HTTP/1.1" 200 528735
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:15 -0300] "GET /ProjetoIndividual/js/gerente/livro.js HTTP/1.1" 200 8801
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:15 -0300] "GET /ProjetoIndividual/css/jquery-ui.css HTTP/1.1" 200 36954
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:15 -0300] "GET /ProjetoIndividual/pages/gerente/geralCadastro/menu.html HTTP/1.1" 200 499
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:15 -0300] "GET /ProjetoIndividual/pages/gerente/geralCadastro/footer.html HTTP/1.1" 200 45
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:15 -0300] "GET /ProjetoIndividual/imgs/fotoPerfil.jpg HTTP/1.1" 200 12766
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:15 -0300] "GET /ProjetoIndividual/rest/livro/buscar HTTP/1.1" 200 98
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:15 -0300] "GET /ProjetoIndividual/rest/livro/buscarPorNome?valorBusca= HTTP/1.1" 200 773
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:15 -0300] "GET /ProjetoIndividual/imgs/delete.png HTTP/1.1" 200 3926
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:15 -0300] "GET /ProjetoIndividual/imgs/edit.png HTTP/1.1" 200 1257
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:15 -0300] "GET /ProjetoIndividual/pages/gerente/livro/index.html HTTP/1.1" 200 4061
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:15 -0300] "GET /ProjetoIndividual/css/gerente/gerente.css HTTP/1.1" 200 2799
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:15 -0300] "GET /ProjetoIndividual/js/gerente/gerente.js HTTP/1.1" 200 1109
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:15 -0300] "GET /ProjetoIndividual/js/jquery-ui.js HTTP/1.1" 200 528735
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:15 -0300] "GET /ProjetoIndividual/js/gerente/livro.js HTTP/1.1" 200 8801
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:15 -0300] "GET /ProjetoIndividual/css/jquery-ui.css HTTP/1.1" 200 36954
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:16 -0300] "GET /ProjetoIndividual/pages/gerente/geralCadastro/menu.html HTTP/1.1" 200 499
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:16 -0300] "GET /ProjetoIndividual/pages/gerente/geralCadastro/footer.html HTTP/1.1" 200 45
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:16 -0300] "GET /ProjetoIndividual/imgs/fotoPerfil.jpg HTTP/1.1" 200 12766
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:16 -0300] "GET /ProjetoIndividual/rest/livro/buscarPorNome?valorBusca= HTTP/1.1" 200 773
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:16 -0300] "GET /ProjetoIndividual/rest/livro/buscar HTTP/1.1" 200 98
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:16 -0300] "GET /ProjetoIndividual/pages/gerente/livro/index.html HTTP/1.1" 200 4061
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:16 -0300] "GET /ProjetoIndividual/css/gerente/gerente.css HTTP/1.1" 200 2799
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:16 -0300] "GET /ProjetoIndividual/js/gerente/gerente.js HTTP/1.1" 200 1109
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:16 -0300] "GET /ProjetoIndividual/js/jquery-ui.js HTTP/1.1" 200 528735
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:16 -0300] "GET /ProjetoIndividual/js/gerente/livro.js HTTP/1.1" 200 8801
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:16 -0300] "GET /ProjetoIndividual/css/jquery-ui.css HTTP/1.1" 200 36954
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:16 -0300] "GET /ProjetoIndividual/pages/gerente/geralCadastro/footer.html HTTP/1.1" 200 45
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:16 -0300] "GET /ProjetoIndividual/pages/gerente/geralCadastro/menu.html HTTP/1.1" 200 499
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:16 -0300] "GET /ProjetoIndividual/imgs/fotoPerfil.jpg HTTP/1.1" 200 12766
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:16 -0300] "GET /ProjetoIndividual/rest/livro/buscar HTTP/1.1" 200 98
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:16 -0300] "GET /ProjetoIndividual/rest/livro/buscarPorNome?valorBusca= HTTP/1.1" 200 773
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:26 -0300] "GET /ProjetoIndividual/rest/livro/buscarPorNome?valorBusca= HTTP/1.1" 200 773
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:26 -0300] "POST /ProjetoIndividual/rest/livro/inserir HTTP/1.1" 200 28
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:26 -0300] "GET /ProjetoIndividual/rest/livro/buscarPorNome?valorBusca= HTTP/1.1" 200 773
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:33 -0300] "GET /ProjetoIndividual/pages/gerente/livro/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:33 -0300] "GET /ProjetoIndividual/js/gerente/livro.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:33 -0300] "GET /ProjetoIndividual/rest/livro/buscar HTTP/1.1" 200 98
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:33 -0300] "GET /ProjetoIndividual/rest/livro/buscarPorNome?valorBusca= HTTP/1.1" 200 773
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:33 -0300] "GET /ProjetoIndividual/pages/gerente/livro/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:33 -0300] "GET /ProjetoIndividual/rest/livro/buscarPorNome?valorBusca= HTTP/1.1" 200 773
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:33 -0300] "GET /ProjetoIndividual/rest/livro/buscar HTTP/1.1" 200 98
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:33 -0300] "GET /ProjetoIndividual/pages/gerente/livro/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:33 -0300] "GET /ProjetoIndividual/rest/livro/buscar HTTP/1.1" 200 98
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:33 -0300] "GET /ProjetoIndividual/rest/livro/buscarPorNome?valorBusca= HTTP/1.1" 200 773
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:34 -0300] "GET /ProjetoIndividual/pages/gerente/livro/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:34 -0300] "GET /ProjetoIndividual/rest/livro/buscar HTTP/1.1" 200 98
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:34 -0300] "GET /ProjetoIndividual/rest/livro/buscarPorNome?valorBusca= HTTP/1.1" 200 773
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:34 -0300] "GET /ProjetoIndividual/pages/gerente/livro/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:34 -0300] "GET /ProjetoIndividual/rest/livro/buscar HTTP/1.1" 200 98
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:34 -0300] "GET /ProjetoIndividual/rest/livro/buscarPorNome?valorBusca= HTTP/1.1" 200 773
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:34 -0300] "GET /ProjetoIndividual/pages/gerente/livro/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:34 -0300] "GET /ProjetoIndividual/rest/livro/buscarPorNome?valorBusca= HTTP/1.1" 200 773
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:34 -0300] "GET /ProjetoIndividual/rest/livro/buscar HTTP/1.1" 200 98
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:34 -0300] "GET /ProjetoIndividual/pages/gerente/livro/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:34 -0300] "GET /ProjetoIndividual/rest/livro/buscar HTTP/1.1" 200 98
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:34 -0300] "GET /ProjetoIndividual/rest/livro/buscarPorNome?valorBusca= HTTP/1.1" 200 773
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:34 -0300] "GET /ProjetoIndividual/pages/gerente/livro/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:34 -0300] "GET /ProjetoIndividual/rest/livro/buscarPorNome?valorBusca= HTTP/1.1" 200 773
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:34 -0300] "GET /ProjetoIndividual/rest/livro/buscar HTTP/1.1" 200 98
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:34 -0300] "GET /ProjetoIndividual/pages/gerente/livro/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:34 -0300] "GET /ProjetoIndividual/rest/livro/buscar HTTP/1.1" 200 98
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:34 -0300] "GET /ProjetoIndividual/rest/livro/buscarPorNome?valorBusca= HTTP/1.1" 200 773
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:34 -0300] "GET /ProjetoIndividual/pages/gerente/livro/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:34 -0300] "GET /ProjetoIndividual/rest/livro/buscarPorNome?valorBusca= HTTP/1.1" 200 773
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:34 -0300] "GET /ProjetoIndividual/rest/livro/buscar HTTP/1.1" 200 98
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:35 -0300] "GET /ProjetoIndividual/pages/gerente/livro/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:35 -0300] "GET /ProjetoIndividual/rest/livro/buscar HTTP/1.1" 200 98
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:35 -0300] "GET /ProjetoIndividual/rest/livro/buscarPorNome?valorBusca= HTTP/1.1" 200 773
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:35 -0300] "GET /ProjetoIndividual/pages/gerente/livro/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:35 -0300] "GET /ProjetoIndividual/rest/livro/buscar HTTP/1.1" 200 98
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:35 -0300] "GET /ProjetoIndividual/rest/livro/buscarPorNome?valorBusca= HTTP/1.1" 200 773
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:35 -0300] "GET /ProjetoIndividual/pages/gerente/livro/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:35 -0300] "GET /ProjetoIndividual/rest/livro/buscar HTTP/1.1" 200 98
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:35 -0300] "GET /ProjetoIndividual/rest/livro/buscarPorNome?valorBusca= HTTP/1.1" 200 773
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:35 -0300] "GET /ProjetoIndividual/pages/gerente/livro/index.html HTTP/1.1" 200 4061
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:35 -0300] "GET /ProjetoIndividual/css/gerente/gerente.css HTTP/1.1" 200 2799
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:35 -0300] "GET /ProjetoIndividual/js/jquery-ui.js HTTP/1.1" 200 528735
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:35 -0300] "GET /ProjetoIndividual/js/gerente/gerente.js HTTP/1.1" 200 1109
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:35 -0300] "GET /ProjetoIndividual/js/gerente/livro.js HTTP/1.1" 200 8801
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:35 -0300] "GET /ProjetoIndividual/css/jquery-ui.css HTTP/1.1" 200 36954
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:35 -0300] "GET /ProjetoIndividual/pages/gerente/livro/index.html HTTP/1.1" 200 4061
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:35 -0300] "GET /ProjetoIndividual/css/gerente/gerente.css HTTP/1.1" 200 2799
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:35 -0300] "GET /ProjetoIndividual/js/gerente/gerente.js HTTP/1.1" 200 1109
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:35 -0300] "GET /ProjetoIndividual/js/gerente/livro.js HTTP/1.1" 200 8801
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:35 -0300] "GET /ProjetoIndividual/js/jquery-ui.js HTTP/1.1" 200 528735
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:35 -0300] "GET /ProjetoIndividual/css/jquery-ui.css HTTP/1.1" 200 36954
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:35 -0300] "GET /ProjetoIndividual/pages/gerente/livro/index.html HTTP/1.1" 200 4061
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:35 -0300] "GET /ProjetoIndividual/css/gerente/gerente.css HTTP/1.1" 200 2799
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:35 -0300] "GET /ProjetoIndividual/js/gerente/gerente.js HTTP/1.1" 200 1109
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:35 -0300] "GET /ProjetoIndividual/js/jquery-ui.js HTTP/1.1" 200 528735
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:35 -0300] "GET /ProjetoIndividual/js/gerente/livro.js HTTP/1.1" 200 8801
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:35 -0300] "GET /ProjetoIndividual/css/jquery-ui.css HTTP/1.1" 200 36954
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:36 -0300] "GET /ProjetoIndividual/pages/gerente/livro/index.html HTTP/1.1" 200 4061
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:36 -0300] "GET /ProjetoIndividual/css/gerente/gerente.css HTTP/1.1" 200 2799
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:36 -0300] "GET /ProjetoIndividual/js/gerente/gerente.js HTTP/1.1" 200 1109
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:36 -0300] "GET /ProjetoIndividual/js/gerente/livro.js HTTP/1.1" 200 8801
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:36 -0300] "GET /ProjetoIndividual/js/jquery-ui.js HTTP/1.1" 200 528735
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:36 -0300] "GET /ProjetoIndividual/css/jquery-ui.css HTTP/1.1" 200 36954
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:36 -0300] "GET /ProjetoIndividual/pages/gerente/livro/index.html HTTP/1.1" 200 4061
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:36 -0300] "GET /ProjetoIndividual/css/gerente/gerente.css HTTP/1.1" 200 2799
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:36 -0300] "GET /ProjetoIndividual/js/gerente/gerente.js HTTP/1.1" 200 1109
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:36 -0300] "GET /ProjetoIndividual/js/gerente/livro.js HTTP/1.1" 200 8801
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:36 -0300] "GET /ProjetoIndividual/js/jquery-ui.js HTTP/1.1" 200 528735
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:36 -0300] "GET /ProjetoIndividual/css/jquery-ui.css HTTP/1.1" 200 36954
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:36 -0300] "GET /ProjetoIndividual/pages/gerente/livro/index.html HTTP/1.1" 200 4061
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:36 -0300] "GET /ProjetoIndividual/css/gerente/gerente.css HTTP/1.1" 200 2799
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:36 -0300] "GET /ProjetoIndividual/js/gerente/gerente.js HTTP/1.1" 200 1109
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:36 -0300] "GET /ProjetoIndividual/js/jquery-ui.js HTTP/1.1" 200 528735
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:36 -0300] "GET /ProjetoIndividual/js/gerente/livro.js HTTP/1.1" 200 8801
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:36 -0300] "GET /ProjetoIndividual/css/jquery-ui.css HTTP/1.1" 200 36954
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:36 -0300] "GET /ProjetoIndividual/pages/gerente/livro/index.html HTTP/1.1" 200 4061
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:36 -0300] "GET /ProjetoIndividual/css/gerente/gerente.css HTTP/1.1" 200 2799
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:36 -0300] "GET /ProjetoIndividual/js/gerente/gerente.js HTTP/1.1" 200 1109
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:36 -0300] "GET /ProjetoIndividual/js/jquery-ui.js HTTP/1.1" 200 528735
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:36 -0300] "GET /ProjetoIndividual/js/gerente/livro.js HTTP/1.1" 200 8801
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:36 -0300] "GET /ProjetoIndividual/css/jquery-ui.css HTTP/1.1" 200 36954
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:36 -0300] "GET /ProjetoIndividual/pages/gerente/livro/index.html HTTP/1.1" 200 4061
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:36 -0300] "GET /ProjetoIndividual/css/gerente/gerente.css HTTP/1.1" 200 2799
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:36 -0300] "GET /ProjetoIndividual/js/gerente/gerente.js HTTP/1.1" 200 1109
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:36 -0300] "GET /ProjetoIndividual/js/jquery-ui.js HTTP/1.1" 200 528735
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:36 -0300] "GET /ProjetoIndividual/js/gerente/livro.js HTTP/1.1" 200 8801
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:36 -0300] "GET /ProjetoIndividual/css/jquery-ui.css HTTP/1.1" 200 36954
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:36 -0300] "GET /ProjetoIndividual/pages/gerente/livro/index.html HTTP/1.1" 200 4061
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:36 -0300] "GET /ProjetoIndividual/css/gerente/gerente.css HTTP/1.1" 200 2799
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:36 -0300] "GET /ProjetoIndividual/js/gerente/gerente.js HTTP/1.1" 200 1109
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:36 -0300] "GET /ProjetoIndividual/js/jquery-ui.js HTTP/1.1" 200 528735
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:36 -0300] "GET /ProjetoIndividual/css/jquery-ui.css HTTP/1.1" 200 36954
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:36 -0300] "GET /ProjetoIndividual/js/gerente/livro.js HTTP/1.1" 200 8801
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:36 -0300] "GET /ProjetoIndividual/pages/gerente/geralCadastro/menu.html HTTP/1.1" 200 499
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:36 -0300] "GET /ProjetoIndividual/pages/gerente/geralCadastro/footer.html HTTP/1.1" 200 45
0:0:0:0:0:0:0:1 - - [03/Dec/2021:18:54:36 -0300] "GET /ProjetoIndividual/imgs/fotoPerfil.jpg HTTP/1.1" 200 12766
